query_name,Name,group,Season,Age,PA,wRC+,BB%,K%,ISO,Spd
Byung-ho Park,Byung-ho Park,KBO_to_MLB,2016,29,244,79.41244161785673,0.086065573,0.327868852,0.218604651,4.075307691516702
Dae-Ho Lee,Dae-Ho Lee,KBO_to_MLB,2016,34,317,102.994880180513,0.063091482,0.233438485,0.174657534,1.00223214
Ha-Seong Kim,Ha-Seong Kim,KBO_to_MLB,2021,25,438,86.1,0.09,0.234,0.131,5.2
Ha-Seong Kim,Ha-Seong Kim,KBO_to_MLB,2022,26,530,103.9,0.086,0.213,0.164,6.9
Ha-Seong Kim,Ha-Seong Kim,KBO_to_MLB,2023,27,537,118.2,0.1,0.198,0.195,7.4
Ha-Seong Kim,Ha-Seong Kim,KBO_to_MLB,2024,28,201,96.8,0.085,0.214,0.133,5.8
Hyeseong Kim,Hyeseong Kim,KBO_to_MLB,2025,26,170,95.47522343174936,0.04117647,0.305882352,0.105590062,7.060419736149452
Hyeseong Kim,Hyeseong Kim,KBO_to_MLB,2026,27,131,84.94322400208442,0.091603053,0.236641221,0.068965517,6.355588288402023
Hyun Soo Kim,Hyun Soo Kim,KBO_to_MLB,2016,28,346,121.12754350218312,0.104046242,0.147398843,0.118032787,2.3589567235561844
Hyun Soo Kim,Hyun Soo Kim,KBO_to_MLB,2017,29,239,60.60975356584261,0.092050209,0.192468619,0.061320755,2.2142857087500003
Jae-Gyun Hwang,Jae-Gyun Hwang,KBO_to_MLB,2017,29,57,25.78362693895249,0.087719298,0.263157894,0.076923077,0.14285714
Jung Hoo Lee,Jung Hoo Lee,KBO_to_MLB,2024,25,158,83.19293387647001,0.063291139,0.082278481,0.068965517,2.412044543636574
Jung Hoo Lee,Jung Hoo Lee,KBO_to_MLB,2025,26,617,107.17950801800322,0.07617504,0.115072933,0.141071429,6.3444069450935885
Jung Hoo Lee,Jung Hoo Lee,KBO_to_MLB,2026,27,261,128.7834340492343,0.042145593,0.09578544,0.114285715,5.161999849482649
Shin-Soo Choo,Shin-Soo Choo,KBO_to_MLB,2015,32,653,128.43463971557583,0.116385911,0.225114854,0.187387388,3.8833154974625854
Shin-Soo Choo,Shin-Soo Choo,KBO_to_MLB,2016,33,210,101.87503410100794,0.119047619,0.219047619,0.157303371,3.960812550970788
Shin-Soo Choo,Shin-Soo Choo,KBO_to_MLB,2017,34,636,102.14589429075866,0.121069182,0.210691823,0.161764706,4.650718446477426
Shin-Soo Choo,Shin-Soo Choo,KBO_to_MLB,2018,35,665,116.630130700992,0.138345864,0.234586466,0.169642857,3.4927857628418257
Shin-Soo Choo,Shin-Soo Choo,KBO_to_MLB,2019,36,660,111.91963124948744,0.118181818,0.25,0.190053286,5.205807994360448
Shin-Soo Choo,Shin-Soo Choo,KBO_to_MLB,2020,37,127,96.42897695876916,0.102362204,0.259842519,0.163636364,4.158733204228515
Sung-Mun Song,Sung-Mun Song,KBO_to_MLB,2026,29,48,54.39959384931357,0.125,0.229166666,0.023809524,5.265158102217673
Aaron Altherr,Aaron Altherr,MLB_to_KBO,2015,24,161,124.35149470387448,0.099378881,0.254658385,0.248175182,8.036122219475185
Aaron Altherr,Aaron Altherr,MLB_to_KBO,2016,25,227,63.94633885328083,0.101321585,0.303964757,0.09090909,4.351348055313659
Aaron Altherr,Aaron Altherr,MLB_to_KBO,2017,26,412,119.71829502921165,0.077669902,0.252427184,0.244623656,5.482021217713043
Aaron Altherr,Aaron Altherr,MLB_to_KBO,2018,27,285,73.99278720642958,0.126315789,0.319298245,0.152263375,3.7997513853985954
Aaron Altherr,Aaron Altherr,MLB_to_KBO,2019,28,66,-22.663758874660157,0.045454545,0.378787878,0.081967213,2.64285714
Anthony Alford,Anthony Alford,MLB_to_KBO,2017,22,8,-15.09255318840586,0.0,0.375,0.125,0.14285714
Anthony Alford,Anthony Alford,MLB_to_KBO,2018,23,21,-15.772416776383617,0.095238095,0.428571428,0.0,6.72346528973035
Anthony Alford,Anthony Alford,MLB_to_KBO,2019,24,30,36.87532595558919,0.033333333,0.366666666,0.107142857,6.633769757263128
Anthony Alford,Anthony Alford,MLB_to_KBO,2020,25,29,87.58254826888214,0.034482758,0.275862068,0.285714286,10.0
Anthony Alford,Anthony Alford,MLB_to_KBO,2021,26,148,90.88323794988956,0.081081081,0.391891891,0.172932331,4.987811244545249
Anthony Alford,Anthony Alford,MLB_to_KBO,2022,27,4,35.726851880759995,0.0,0.5,0.0,0.14285714
Austin Dean,Austin Dean,MLB_to_KBO,2018,24,122,78.71396416757396,0.057377049,0.180327868,0.14159292,4.1044569262159305
Austin Dean,Austin Dean,MLB_to_KBO,2019,25,189,70.91417727776626,0.047619047,0.248677248,0.179775281,1.9117402964638304
Austin Dean,Austin Dean,MLB_to_KBO,2020,26,7,205.7385990783144,0.428571428,0.285714285,0.25,1.08035714
Austin Dean,Austin Dean,MLB_to_KBO,2021,27,38,101.11645880265064,0.157894736,0.289473684,0.166666667,1.60119047125
Austin Dean,Austin Dean,MLB_to_KBO,2022,28,9,142.99846479022787,0.111111111,0.0,0.0,1.08035714
Daz Cameron,Daz Cameron,MLB_to_KBO,2020,23,59,29.10991847082157,0.033898305,0.322033898,0.070175438,6.762604938910883
Daz Cameron,Daz Cameron,MLB_to_KBO,2021,24,115,75.73873877144709,0.086956521,0.330434782,0.165048543,6.646490312444982
Daz Cameron,Daz Cameron,MLB_to_KBO,2022,25,70,81.3033238197439,0.071428571,0.285714285,0.125,7.1325818565878
Daz Cameron,Daz Cameron,MLB_to_KBO,2024,27,186,69.54753685285596,0.069892473,0.274193548,0.129411764,6.621040653019289
Daz Cameron,Daz Cameron,MLB_to_KBO,2025,28,42,37.62150628467394,0.023809523,0.309523809,0.097560975,5.910275798404236
Dixon Machado,Dixon Machado,MLB_to_KBO,2015,23,78,63.52298185174595,0.089743589,0.179487179,0.044117647,3.4427739429973068
Dixon Machado,Dixon Machado,MLB_to_KBO,2016,24,13,35.169229481583436,0.23076923,0.307692307,0.0,1.08035714
Dixon Machado,Dixon Machado,MLB_to_KBO,2017,25,181,65.05636682184225,0.055248618,0.17679558,0.060240964,3.88571585460646
Dixon Machado,Dixon Machado,MLB_to_KBO,2018,26,233,47.946118875581774,0.060085836,0.175965665,0.08411215,3.5228097353277574
Dixon Machado,Dixon Machado,MLB_to_KBO,2022,30,17,52.541578752225945,0.058823529,0.294117647,0.0,1.08035714
Guillermo Heredia,Guillermo Heredia,MLB_to_KBO,2016,25,107,92.849737958136,0.112149532,0.140186915,0.065217391,2.66695271123915
Guillermo Heredia,Guillermo Heredia,MLB_to_KBO,2017,26,426,79.9919580776096,0.063380281,0.150234741,0.088082901,2.2219719317573197
Guillermo Heredia,Guillermo Heredia,MLB_to_KBO,2018,27,337,87.66471030819403,0.094955489,0.15430267,0.106164384,2.659519738713664
Guillermo Heredia,Guillermo Heredia,MLB_to_KBO,2019,28,231,83.84654920876523,0.077922077,0.259740259,0.137254902,3.538630109714616
Guillermo Heredia,Guillermo Heredia,MLB_to_KBO,2020,29,36,82.42690979443758,0.083333333,0.25,0.181818181,5.917620258155052
Guillermo Heredia,Guillermo Heredia,MLB_to_KBO,2021,30,347,79.49056050101503,0.09221902,0.233429394,0.134426229,2.243920965
Guillermo Heredia,Guillermo Heredia,MLB_to_KBO,2022,31,82,54.09473183074481,0.073170731,0.390243902,0.184210527,5.14285714
Henry Ramos,Henry Ramos,MLB_to_KBO,2021,29,55,49.19010515866521,0.072727272,0.218181818,0.1,1.44093405875
Henry Ramos,Henry Ramos,MLB_to_KBO,2023,31,86,83.4040570219521,0.127906976,0.244186046,0.067567567,5.586805175152101
Jake Cave,Jake Cave,MLB_to_KBO,2018,25,309,108.98085192927832,0.058252427,0.330097087,0.208480566,5.469182589191526
Jake Cave,Jake Cave,MLB_to_KBO,2019,26,228,114.02125544627306,0.092105263,0.311403508,0.196969697,3.47098214
Jake Cave,Jake Cave,MLB_to_KBO,2020,27,123,84.72943598300418,0.040650406,0.357723577,0.168141592,6.102166784065805
Jake Cave,Jake Cave,MLB_to_KBO,2021,28,178,50.24978127783041,0.056179775,0.348314606,0.103658536,3.65942460814884
Jake Cave,Jake Cave,MLB_to_KBO,2022,29,177,79.78384959088504,0.062146892,0.276836158,0.170731707,6.159997537415148
Jake Cave,Jake Cave,MLB_to_KBO,2023,30,203,65.42852312953985,0.073891625,0.27093596,0.135869565,5.0007611463514685
Jake Cave,Jake Cave,MLB_to_KBO,2024,31,346,74.6536545547378,0.052023121,0.283236994,0.145510836,6.423048462611329
Jamie Romak,Jamie Romak,MLB_to_KBO,2015,29,16,127.13496922855352,0.0625,0.375,0.133333333,1.60119047125
Jason Martin,Jason Martin,MLB_to_KBO,2019,23,40,71.7065774745186,0.1,0.25,0.055555555,5.761167870098712
Jason Martin,Jason Martin,MLB_to_KBO,2020,24,11,-28.876509590334816,0.181818181,0.363636363,0.0,2.64285714
Jason Martin,Jason Martin,MLB_to_KBO,2021,25,154,61.764319686164114,0.051948051,0.266233766,0.145833333,3.51576416143162
Jose Pirela,Jose Pirela,MLB_to_KBO,2015,25,78,47.36582546162912,0.025641025,0.205128205,0.081081081,4.019215674090834
Jose Pirela,Jose Pirela,MLB_to_KBO,2016,26,41,-2.495557653942368,0.024390243,0.219512195,0.051282052,2.7579056937498496
Jose Pirela,Jose Pirela,MLB_to_KBO,2017,27,344,119.8940752999996,0.078488372,0.206395348,0.201923077,4.96932361468315
Jose Pirela,Jose Pirela,MLB_to_KBO,2018,28,473,77.60574730802648,0.063424947,0.188160676,0.095890411,4.567530519551117
Jose Pirela,Jose Pirela,MLB_to_KBO,2019,29,24,59.27096330962138,0.083333333,0.291666666,0.181818182,0.14285714
Jose Rojas,Jose Rojas,MLB_to_KBO,2021,28,184,81.80084434200688,0.081521739,0.27173913,0.19047619,4.182081531527615
Jose Rojas,Jose Rojas,MLB_to_KBO,2022,29,57,-24.17348584539892,0.0,0.333333333,0.035714285,0.4107142775
Lewin Diaz,Lewin Diaz,MLB_to_KBO,2020,23,41,9.292014932850524,0.048780487,0.292682926,0.051282052,1.08035714
Lewin Diaz,Lewin Diaz,MLB_to_KBO,2021,24,128,77.77950026918572,0.046875,0.2578125,0.24590164,3.1917701775
