Rank,Name,NameASCII,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,hot_composite
1,Do Yeong Kim 김도영,Do Yeong Kim,Tigers (KBO),22.0,513,164.8073097975381,0.140350877,0.167641325,0.331786543,4.754463610421855,2.376650553006832,1.6856851395918746,-0.5732759874984806,3.074365193377348,0.2917424198439163,1.8644551295846519
2,Hyun Min Ahn 안현민,Hyun Min Ahn,Wiz (KBO),22.0,287,165.05806100098675,0.177700348,0.209059233,0.225806452,4.397568820846926,2.3851514463557573,2.948390495534016,0.14648096361246152,1.450864479983738,0.1280878976907722,1.7336525990141867
3,Seung-kyu Park 박승규,Seung-kyu Park,Lions (KBO),25.0,305,134.5850047064947,0.157377049,0.144262295,0.192,7.275162769458838,1.3520628788334306,2.2613034281505557,-0.9795548211066687,0.9329860896046731,1.4476119601511783,1.4492363577897207
4,Seong-han Park 박성한,Seong-han Park,Landers (KBO),28.0,530,135.82048582001133,0.141509433,0.137735849,0.095343681,3.930651690876409,1.3939477951814667,1.72485342838394,-1.0929708554112072,-0.5476844907829242,-0.08601749701519294,0.8952046761040019
5,Hyun Bin Moon 문현빈,Hyun Bin Moon,Eagles (KBO),22.0,515,125.14994110739588,0.106796116,0.126213592,0.167037862,5.614053466622405,1.0321981352423246,0.5512707744711879,-1.293203676640051,0.5505930526820143,0.6859083512987845,0.8201671313527834
6,Ji-chan Kim 김지찬,Ji-chan Kim,Lions (KBO),25.0,456,123.79572485093462,0.127192982,0.076754385,0.047493404,7.145368955205971,0.9862878950950021,1.2408449840398903,-2.1527016511559287,-1.2806991363882188,1.3880948551934793,0.8116725204535666
7,Won-jun Choi 최원준,Won-jun Choi,Wiz (KBO),29.0,529,136.31331947480766,0.105860113,0.1342155,0.126086957,6.019314692891388,1.410655696402138,0.5196265243751718,-1.15414718674804,-0.07673065363197616,0.8717413594277067,0.7980534232430158
8,Whee Jip Kim 김휘집,Whee Jip Kim,Dinos (KBO),24.0,224,121.20559589415988,0.102678571,0.178571428,0.213903744,4.902863752648351,0.8984781070713387,0.4120654260250805,-0.3833335690980013,1.2685278283826764,0.35979147820215557,0.7197445374891227
9,Jun-su Han 한준수,Jun-su Han,Tigers (KBO),27.0,330,120.53305204819463,0.139393939,0.154545454,0.148698885,1.236727562056712,0.8756777239489612,1.6533331221321204,-0.8008549415852542,0.26965970037522086,-1.321319549320031,0.7179648240985476
10,Jae Hyeon Lee 이재현,Jae Hyeon Lee,Lions (KBO),23.0,247,109.8577900469692,0.101214574,0.153846153,0.25,3.5491728324649077,0.5137681398825645,0.362570833371192,-0.8130073360439222,1.8214835468943578,-0.2609450726158844,0.7049264528314388
11,Baek-ho Kang 강백호,Baek-ho Kang,Eagles (KBO),26.0,455,130.13513780472212,0.098901098,0.206593406,0.257425742,1.414752217700758,1.2012048034638079,0.2843571811338258,0.10363002764807037,1.9352379069889996,-1.2396861357708884,0.6789851999960993
12,Chan-ui Song 송찬의,Chan-ui Song,Twins (KBO),27.0,334,141.13599830377416,0.080838323,0.230538922,0.239726028,3.92375649612767,1.5741527317795112,-0.3263064273461394,0.5197532077212474,1.6640973745104712,-0.08917929661193612,0.6366077767800321
13,Jeong Bin Moon 문정빈,Jeong Bin Moon,Twins (KBO),22.0,234,133.30222786148852,0.094017094,0.303418803,0.298076923,2.9291474587499997,1.3085745565446758,0.11923950090636407,1.786253701804345,2.5579701648221502,-0.5452584311241196,0.6115123767713602
14,Ju Won Kim 김주원,Ju Won Kim,Dinos (KBO),23.0,504,122.9310621800397,0.08531746,0.13095238,0.163265306,5.4703143401443315,0.9569743562286589,-0.1748764303885223,-1.2108534139748985,0.49280156279437715,0.6199966071500491,0.5855611846415822
15,Seong-yoon Kim 김성윤,Seong-yoon Kim,Lions (KBO),27.0,396,112.18215477979383,0.106060606,0.101010101,0.088757397,6.022987803803401,0.5925680675638337,0.5264047618749453,-1.7311878413523796,-0.648579259524092,0.8734256687218742,0.5266765019081124
16,Dong-hui Han 한동희,Dong-hui Han,Giants (KBO),27.0,338,123.2869112745373,0.076923076,0.162721893,0.215231788,2.1436742097191317,0.969038247284939,-0.4586725151211549,-0.6587654665305361,1.2888720304028285,-0.9054381058885688,0.4420887608764823
17,Bo-gyeong Moon 문보경,Bo-gyeong Moon,Twins (KBO),25.0,363,98.54221349487966,0.151515151,0.192837465,0.126666667,1.05474238375,0.1301508007513941,2.0631252531347295,-0.13541956785110354,-0.0678501215463656,-1.4047690651569298,0.4210925578618
18,Sang Jun Park 박상준,Sang Jun Park,Tigers (KBO),24.0,137,122.01658741013112,0.145985401,0.284671532,0.139130435,1.08035714,0.9259721022719095,1.8761762882612762,1.4604651898251646,0.1230813642510228,-1.3930233887934396,0.41307985824397786
19,Si-hwan Roh 노시환,Si-hwan Roh,Eagles (KBO),25.0,496,124.23646862151836,0.092741935,0.264112903,0.222988506,3.613504564806069,1.001229860423207,0.0761291152471449,1.1031990495830986,1.407696585918572,-0.23144568169421795,0.4123161285155762
20,Tae-yean Kim 김태연,Tae-yean Kim,Eagles (KBO),29.0,357,111.2007683615066,0.086834733,0.176470588,0.174917492,4.833239402401417,0.5592973946370268,-0.12358069065699037,-0.41984179141507016,0.6713004874989714,0.3278651511648344,0.3669169270553987
21,Jun Soon Park 박준순,Jun Soon Park,Bears (KBO),19.0,371,128.38730203026535,0.059299191,0.196765498,0.214705883,4.510493698149008,1.1419501905018585,-1.0544981958117428,-0.06715853796173381,1.2808157328980707,0.17986973192849154,0.3631844086643452
22,Seung Yeup Na 나승엽,Seung Yeup Na,Giants (KBO),24.0,317,103.23806967399042,0.116719242,0.148264984,0.119133574,2.3481672645123517,0.2893483320553104,0.8867503411801441,-0.9099964254753565,-0.1832489832019988,-0.8116675770285641,0.32717499438967645
23,Min Suk Kim 김민석,Min Suk Kim,Bears (KBO),22.0,419,114.74594638313278,0.102625298,0.174224343,0.1,3.713540918705614,0.6794849743986079,0.4102643803709909,-0.4588768496958555,-0.4763547047168957,-0.18557389489993148,0.26141478443333616
24,Myeong Jun Ko 고명준,Myeong Jun Ko,Landers (KBO),23.0,166,116.75180279020574,0.072289156,0.216867469,0.22875817,2.292965826659383,0.7474869267532539,-0.615335392702672,0.28217183764006076,1.4960816168395348,-0.8369802607602426,0.24360475149618177
25,Myeong Jin Oh 오명진,Myeong Jin Oh,Bears (KBO),24.0,139,94.025531140801,0.107913669,0.201438848,0.157024793,4.124095589766286,-0.02297243237740418,0.5890528399427234,0.01405454859672578,0.3972036329205284,0.0026864285141470984,0.2179726674184711
26,Seung-min Go 고승민,Seung-min Go,Giants (KBO),25.0,375,108.06785491213532,0.08,0.197333333,0.185840708,3.224824642959062,0.45308628682086005,-0.3546483265422347,-0.057290748687247185,0.8386323778683851,-0.40967531333483015,0.18261636095398043
27,Jae-hyun Choo 추재현,Jae-hyun Choo,Heroes (KBO),27.0,229,117.3922126621197,0.091703056,0.165938864,0.110552764,1.12042124,0.7691979133641483,0.04100684865665406,-0.6028612127770074,-0.31469773952072133,-1.3746519489951594,0.1310355252862989
28,Han Byul Kim 김한별,Han Byul Kim,Dinos (KBO),25.0,128,94.86078254935542,0.1171875,0.1953125,0.068627451,5.643967311447787,0.005344014546905938,0.9025811379419711,-0.09240861603062865,-0.9569483256685516,0.6996253797443156,0.11968265409488009
29,Jae Hyun Park 박재현,Jae Hyun Park,Tigers (KBO),19.0,462,106.13337375909828,0.054112554,0.192640692,0.174825175,6.973408396807535,0.3875040772788786,-1.229847247455009,-0.1388390726349029,0.669886290606478,1.3092421405113686,0.09451674438757919
30,Jae Seok An 안재석,Jae Seok An,Bears (KBO),24.0,354,96.80820940548185,0.06779661,0.163841807,0.176470588,4.7109964688464245,0.07136510549713658,-0.7672187191363032,-0.6393036944355656,0.6950922434804677,0.27181051136085166,0.09169990586257873
31,Tae Yang Han 한태양,Tae Yang Han,Giants (KBO),22.0,188,83.87784052570885,0.117021276,0.218085106,0.079268292,7.6618632707280705,-0.36699644690003563,0.8969614616931124,0.3033318318792645,-0.7939421158077961,1.6249339261764377,0.07234662602746231
32,Ji-hoon Choi 최지훈,Ji-hoon Choi,Landers (KBO),28.0,490,81.90994464075912,0.069387755,0.15510204,0.158013544,7.817029240467949,-0.43371147282880196,-0.7134255258249291,-0.7911826364946389,0.41235023204798776,1.696085462634713,0.06228616484239188
33,Jun Jae Jeong 정준재,Jun Jae Jeong,Landers (KBO),23.0,506,87.32934907150192,0.092885375,0.144268774,0.066666667,6.791468419595909,-0.2499844220835773,0.08097851341549785,-0.9794422295849957,-0.9869854221908672,1.2258133516893581,0.01734988689731301
34,In Seo Heo 허인서,In Seo Heo,Eagles (KBO),22.0,364,118.9532642874491,0.079670329,0.296703296,0.201863354,1.8166774651808428,0.8221202251879033,-0.3657937946373198,1.669552181208853,1.0840820370072253,-1.0553828446077433,0.01603291465638379
35,Jae Won Oh 오재원,Jae Won Oh,Eagles (KBO),19.0,167,80.73728421457925,0.101796407,0.13772455,0.054421769,6.919020073067375,-0.4734666607615351,0.3822413568269028,-1.0931672084909088,-1.1745640556007213,1.2843023112047889,0.01101284225223606
