Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,player_type
2023,Addison Russell 러셀,Heroes (KBO),29.0,58,216,235,62,46,11,1,4,20,41,17,1,39,1,1,0,5,1,0,0.287037037,Addison Russell,14106,,0.072340425,0.165957446,0.435897435,0.340425531,0.402777777,0.743203308,0.11574074,2.8147498354931364,0.333333333,0.0115575885865837,29.545542070794983,1.8704567050227388,0.3466612373152349,106.75863029978603,KBO_only
2023,Ah-seop Son 손아섭,Dinos (KBO),35.0,140,550,609,186,143,35,3,5,97,65,50,2,67,2,5,2,10,14,3,0.338181818,Ah-seop Son,sa3012050,,0.082101806,0.11001642,0.746268656,0.392092257,0.44,0.832092257,0.101818182,5.459706866862195,0.3747412,0.965761756291613,95.98623008094512,24.266540771348115,0.3881920448019484,133.83525640580393,KBO_only
2023,Anthony Alford 알포드,Wiz (KBO),28.0,133,491,547,142,93,31,3,15,83,70,47,1,140,6,3,0,6,17,3,0.289205702,Anthony Alford,14329,,0.085923217,0.255941499,0.335714285,0.356489945,0.456211812,0.812701757,0.16700611,6.1576886647616025,0.374631268,1.709336938103661,81.2520621267423,16.83388470088094,0.3763768985157921,126.13219649105254,KBO_only
2023,Austin Dean 오스틴,Twins (KBO),29.0,138,516,579,162,108,27,4,23,86,95,53,2,75,3,7,0,10,7,3,0.313953488,Austin Dean,18288,,0.091537132,0.129533678,0.706666666,0.376511226,0.515503875,0.892015101,0.201550387,4.518711121052185,0.327058823,-0.3415126320905983,99.49698859060844,31.31028890217385,0.4067255797791109,145.9184695039354,KBO_only
2023,Baek-ho Kang 강백호,Wiz (KBO),23.0,71,238,271,63,44,10,1,8,32,39,31,4,55,0,2,0,1,3,0,0.264705882,Baek-ho Kang,sa3012665,,0.114391143,0.202952029,0.563636363,0.346863468,0.415966386,0.762829854,0.151260504,4.117418202151227,0.310734463,0.3876283990684896,35.13816844565462,3.223495534487481,0.3517868596962775,110.10035585656766,KBO_only
2023,Beom-soo Shin 신범수,Tigers (KBO),25.0,36,88,100,15,10,3,0,2,7,10,7,0,19,2,1,2,3,0,0,0.170454545,Beom-soo Shin,sa3012601,,0.07,0.19,0.368421052,0.244897959,0.272727272,0.517625231,0.102272727,1.08035714,0.19117647,-0.0568318392615765,5.166025794334391,-6.610606276206991,0.2501960962402577,43.8667503866146,KBO_only
2023,Bo-gyeong Moon 문보경,Twins (KBO),22.0,130,465,538,140,96,29,5,10,77,72,58,2,82,2,4,9,5,9,8,0.301075268,Bo-gyeong Moon,sa3015048,,0.107806691,0.152416356,0.707317073,0.378071833,0.449462365,0.827534198,0.148387097,5.050096707295641,0.344827586,-2.0124941715039313,83.21910994084114,19.86082940132851,0.3843752749730785,131.3468566889888,KBO_only
2023,Bo-keun Jeong 정보근,Giants (KBO),23.0,55,81,101,27,19,6,1,1,11,13,14,0,13,1,1,4,2,0,0,0.333333333,Bo-keun Jeong,sa3014210,,0.138613861,0.128712871,1.076923076,0.43298969,0.469135802,0.902125492,0.135802469,2.8303571400000003,0.382352941,-0.1016990807838738,18.5742867414168,6.679888350170007,0.4224342212234576,156.1599513522752,KBO_only
2023,Brian O`grady 오그레디,Eagles (KBO),31.0,22,80,86,10,7,3,0,0,3,8,5,0,40,0,1,0,0,1,0,0.125,Brian O`grady,sa3020697,,0.058139534,0.465116279,0.125,0.174418604,0.1625,0.336918604,0.0375,3.225034205912863,0.243902439,0.1641062097623944,-1.074811917445588,-11.202715498111177,0.166634636562924,-10.612382995997608,KBO_only
2023,Byeong-wuk Lim 임병욱,Heroes (KBO),27.0,79,205,220,53,36,10,1,6,30,36,10,0,74,1,3,1,0,4,0,0.258536585,Byeong-wuk Lim,sa3012450,,0.045454545,0.336363636,0.135135135,0.292237442,0.404878048,0.69711549,0.146341463,6.192984505629131,0.3671875,0.6594159884843975,23.25015578343941,-2.6584347717516295,0.3205563725401821,89.7391764091197,KBO_only
2023,ByungHo Park 박병호,Wiz (KBO),36.0,132,431,493,122,89,15,0,18,53,87,46,2,114,8,8,0,9,2,0,0.283062645,ByungHo Park,18497,,0.093306288,0.231237322,0.403508771,0.356997971,0.443155452,0.800153423,0.160092807,2.1480595750612403,0.338762214,-0.0217520643491297,70.95059855905424,12.891802451285232,0.3703528613519766,122.20473608745765,KBO_to_MLB
2023,Chan Hyeok Park 박찬혁,Heroes (KBO),20.0,48,154,167,31,23,7,0,1,13,8,10,0,41,3,0,0,1,0,0,0.201298701,Chan Hyeok Park,sa3018071,,0.059880239,0.245508982,0.243902439,0.263473053,0.266233766,0.529706819,0.064935065,1.39285714,0.267857142,-0.1076813796535134,9.548330699218528,-10.11864485858558,0.257379491529065,48.55007152042566,KBO_only
2023,Chan Yeol Yang 양찬열,Bears (KBO),26.0,44,88,99,21,17,2,2,0,15,6,9,0,23,1,1,0,1,3,2,0.238636363,Chan Yeol Yang,sa3014326,,0.09090909,0.232323232,0.391304347,0.313131313,0.306818181,0.619949494,0.068181818,7.4053301928846365,0.318181818,-0.3187253221403807,8.792623486150818,-2.86624226368515,0.2985867743540292,75.41577092329521,KBO_only
2023,Chan-ho Park 박찬호,Tigers (KBO),28.0,130,452,507,136,111,18,4,3,73,52,40,0,56,2,6,7,13,30,8,0.300884955,Chan-ho Park,sa3012474,,0.078895463,0.110453648,0.714285714,0.356,0.378318584,0.734318584,0.077433629,6.649834375062261,0.333333333,2.1904970405157655,63.76484992005552,4.057325322410709,0.3467175333499908,106.7953333348721,KBO_only
2023,Chang-jin Lee 이창진,Tigers (KBO),32.0,104,244,284,66,48,11,3,4,35,29,34,1,44,2,2,2,5,9,2,0.270491803,Chang-jin Lee,sa3012466,,0.119718309,0.154929577,0.772727272,0.361702127,0.389344262,0.751046389,0.118852459,6.091263105079992,0.313131313,0.7137703273911029,37.545105709562385,4.099470629224856,0.355094954000249,112.25711701804372,KBO_only
2023,Chang-ki Hong 홍창기,Twins (KBO),29.0,140,522,638,174,137,34,2,1,109,65,85,3,82,22,6,3,6,23,22,0.333333333,Chang-ki Hong,sa3012570,,0.13322884,0.128526645,1.036585365,0.442519685,0.411877394,0.854397079,0.078544061,4.846206968757162,0.388764044,-5.338474204996601,110.5901726437575,35.45526003370348,0.4086740371547168,147.18879519793188,KBO_only
2023,Chi-hong An 안치홍,Giants (KBO),32.0,121,425,494,124,95,20,1,8,57,63,49,3,53,10,5,5,14,3,3,0.291764705,Chi-hong An,sa3013286,,0.099190283,0.107287449,0.924528301,0.374233128,0.4,0.774233128,0.108235295,2.7850966569153446,0.314363143,-1.1086100002285093,69.00351756086545,10.826955132391015,0.3648399477632938,118.61051028187217,KBO_only
2023,Chi-young An 안치영,Wiz (KBO),25.0,76,124,136,36,32,3,1,0,20,9,6,0,35,2,1,3,1,7,1,0.29032258,Chi-young An,sa3012625,,0.044117647,0.257352941,0.171428571,0.330827067,0.330645161,0.661472228,0.040322581,7.495437571604476,0.4,0.8613718952983618,13.814992074071805,-2.2012275418644753,0.3152141884753578,86.25626024961448,KBO_only
2023,Dae-han Kim 김대한,Bears (KBO),22.0,33,81,89,16,11,3,1,1,10,7,7,0,21,1,0,0,0,1,3,0.197530864,Dae-han Kim,sa3012718,,0.078651685,0.235955056,0.333333333,0.269662921,0.296296296,0.565959217,0.098765432,5.6154057555036845,0.254237288,-1.113778280792758,6.093647823733884,-4.387554719047946,0.2720869592066561,58.13882327777784,KBO_only
2023,Dae-in Hwang 황대인,Tigers (KBO),27.0,60,174,199,37,27,5,0,5,19,26,18,2,50,4,3,0,6,0,0,0.212643678,Dae-in Hwang,sa3012545,,0.090452261,0.251256281,0.36,0.296482412,0.327586206,0.624068618,0.114942528,1.26785714,0.262295081,-0.1405840234365314,17.00565954956702,-6.429838270810328,0.2942121652177142,72.56367959369938,KBO_only
