Rank,Name,Team,seasons_used,PA,Age,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,adjusted_composite,Percentile
1,Hyun Min Ahn 안현민,Wiz (KBO),2025-2026,626,22,175.2421922237176,0.1613418523290735,0.16293929676996807,0.2260120517507987,5.150154208620428,3.3012645648866834,3.0445037173655254,-0.6905596304106806,1.891328690612711,0.4164197162871576,2.5472022751266667,98.71794871794873
2,Do Yeong Kim 김도영,Tigers (KBO),2023-2026,1503,22,153.9832041071491,0.10711909492481703,0.17032601457085828,0.26352011005721887,7.415114718958725,2.9761115411135273,0.9707245692498836,-0.6956230321188013,3.195605343279283,2.0836172309222394,2.2566929960025663,97.43589743589743
3,Bo-gyeong Moon 문보경,Twins (KBO),2023-2026,1993,25,123.8457958055439,0.1209232308078274,0.1746111383055695,0.17509265478825892,3.5766556563977216,1.4611496067887424,1.7566572215462184,-0.6240646660339816,1.2419449040635706,-0.5853715816399615,1.1300766980755128,96.15384615384616
4,Seung-kyu Park 박승규,Lions (KBO),2025-2026,462,25,133.10528575766568,0.1320346316233766,0.17316017313419915,0.18005048797402595,5.968203829222113,1.3479787840550663,1.6256834974863297,-0.43864286371225236,0.932259030016604,0.7799398067477887,1.1163759175078223,94.87179487179486
5,Ji-chan Kim 김지찬,Lions (KBO),2023-2026,1584,25,110.4180028914148,0.11868686806881314,0.08964646421590909,0.04886043085984848,7.040130802869623,0.7017217922145443,1.581163069354436,-2.6005533710493456,-1.6894324233301534,1.8410486835491835,1.0566079840682367,93.58974358974359
6,Seong-yoon Kim 김성윤,Lions (KBO),2023-2026,1160,27,124.1249588754647,0.09655172341982758,0.11465517199913791,0.11222078411724139,7.510884760567839,1.3428114661491721,0.40327482455686703,-1.8975646937348156,-0.2290349867923847,2.047138516451721,1.053533688357246,92.3076923076923
7,Si-hwan Roh 노시환,Eagles (KBO),2023-2026,2160,25,127.80167814373473,0.10925925876990741,0.2152777769699074,0.22135543578333333,4.037499879681252,1.695055281101242,1.141616263475893,0.36814084375100375,2.3609428531445342,-0.2563012168708768,1.0488037877337375,91.02564102564102
8,Seong-han Park 박성한,Landers (KBO),2023-2026,2005,28,114.38485566963685,0.12817955058902744,0.13965087230773068,0.10435738230872818,3.509728666450519,0.9454569283833683,2.1485338899533777,-1.4756649812514822,-0.4319593459264265,-0.6339523717990018,0.8889429673663085,89.74358974358975
9,Baek-ho Kang 강백호,Eagles (KBO),2023-2026,1595,26,124.53557636086182,0.10658307166018807,0.19686520308087774,0.20732460071034478,2.8538641753018794,1.4489256752492565,0.9527487397155054,-0.07790379013246493,1.9395219207863552,-1.0711943021315167,0.8722545034349478,88.46153846153845
10,Seung Yeup Na 나승엽,Giants (KBO),2024-2026,1069,24,108.79835059211072,0.13283442416276894,0.16744621106361088,0.14317217938353602,2.8050101704964403,0.5666623836937517,2.148027445374837,-0.7100817843735366,0.43191183290198637,-1.0279657416197545,0.8515627408048578,87.17948717948718
11,Sung-ju Moon 문성주,Twins (KBO),2023-2026,1624,29,112.9401557749313,0.11391625570012316,0.09482758548214286,0.07102878627278325,4.248855381452844,0.8385109664748662,1.3385056942197828,-2.4886807368550663,-1.1865130094643228,-0.10023909886579847,0.8063234996059716,85.8974358974359
12,Jae Hyeon Lee 이재현,Lions (KBO),2023-2026,1686,23,108.22278604299599,0.1168446022876631,0.1826809011227758,0.16078402345788848,3.71730194838353,0.5922622404524894,1.5003235585104993,-0.41617940781776885,0.8811560102805742,-0.47384203098768024,0.7568238738587557,84.61538461538461
13,Ju Won Kim 김주원,Dinos (KBO),2023-2026,1939,23,112.99696283983515,0.09644146432955134,0.1944301180453842,0.14105857663950488,6.333292952854864,0.8654453713128009,0.43854617761189846,-0.14120750920520855,0.43491723478617816,1.3911356765818796,0.6319559510396698,83.33333333333334
14,Dong Hee Yoon 윤동희,Giants (KBO),2023-2026,1619,22,109.19963794440935,0.10191476155713404,0.18221124121618282,0.13101598476961088,3.5630844330933535,0.6398564066590003,0.7114795590875682,-0.42424542139520915,0.19170121198986032,-0.5787369843161231,0.4893909863278258,82.05128205128204
15,Won-jun Choi 최원준,Wiz (KBO),2023-2026,1604,29,103.86781718158782,0.09319812660598505,0.1482569081627182,0.11099646765149628,5.849653124602199,0.35668215994733443,0.25610612913066516,-1.2240440820947218,-0.26775326323691195,1.015285235062154,0.4294849776358406,80.76923076923077
16,Hyun Bin Moon 문현빈,Eagles (KBO),2023-2026,1729,22,109.66542595894592,0.07807981444129555,0.15268941524465007,0.1324711395112782,4.57708981965084,0.672007990760045,-0.537264765346047,-1.1332529682114267,0.2279101027053225,0.13049252565471559,0.39234845263081564,79.48717948717949
17,Whee Jip Kim 김휘집,Dinos (KBO),2023-2026,1608,24,106.25143029134486,0.09627749209390546,0.19371040927674127,0.15193832663868162,3.3842174265960914,0.483027564983003,0.4167676841856877,-0.15250171937083332,0.6714302853302585,-0.7028370724854592,0.32553293846480647,78.2051282051282
18,Seung-min Go 고승민,Giants (KBO),2023-2026,1621,25,98.39089545987956,0.09685379370758793,0.1659469456249229,0.12026682434608268,4.660924570102344,0.06712087214572385,0.4474453870054067,-0.8084290028693926,-0.05516494200818297,0.18737524606571024,0.3041461922742909,76.92307692307693
19,Jun-su Han 한준수,Tigers (KBO),2023-2026,942,27,109.49577865428957,0.09554140103397028,0.16878980864968152,0.14962024140976646,1.6728826215790766,0.5813596414286325,0.33509820228403786,-0.6591646187526379,0.5511376846050303,-1.7097134625876402,0.30171467318211737,75.64102564102564
20,In Ho Choi 최인호,Eagles (KBO),2023-2025,551,25,105.87419925592376,0.08711433715789473,0.14882032632849365,0.11449762245916516,4.835093111739955,0.3374560649088795,-0.05941916295332546,-0.9142566416285105,-0.15624780616857126,0.22857117632642032,0.26865330376739094,74.35897435897436
21,Jae Seok An 안재석,Bears (KBO),2025-2026,363,24,112.42081760967558,0.07438016485123967,0.18181818133057853,0.1754326483140496,5.727379425951403,0.4982980806174973,-0.489936504845964,-0.2566184857963675,0.7679419933439983,0.5917282832358126,0.26532777858112333,73.07692307692307
22,Ji-hoon Choi 최지훈,Landers (KBO),2023-2026,1966,28,92.33513431780318,0.07324516733570702,0.13021363128179045,0.11942054732858595,7.390949855384118,-0.258768014039961,-0.80550723478121,-1.7008275486370432,-0.07522484505679296,2.1527387074008923,0.23863359672151935,71.7948717948718
23,Tae Yang Han 한태양,Giants (KBO),2025-2026,386,22,102.90233062460312,0.11398963708031087,0.24352331567098448,0.09273109563471503,6.128683164344573,0.17789063913195496,0.8767143022962839,0.706002024325823,-0.47607280293600335,0.7958974794873694,0.16045281845035372,70.51282051282051
24,Jun Jae Jeong 정준재,Landers (KBO),2024-2026,1018,23,89.81726089281544,0.09724950824950884,0.18467583415913555,0.06838864875638506,7.588105509188627,-0.3611839370005636,0.423863633438602,-0.32917301470442395,-1.1457115694070807,2.0384147392261944,0.10020157214751974,69.23076923076923
25,Ju Hyoung Lee 이주형,Heroes (KBO),2023-2026,1381,25,105.70224936322965,0.07965242527226649,0.2194062267762491,0.1440788281129616,5.65717879287729,0.44053077105894467,-0.4399977774788967,0.44389842143664404,0.47742359664132505,0.8584065778565241,0.09083429994248159,67.94871794871796
26,Chan-ui Song 송찬의,Twins (KBO),2025-2026,385,27,117.44059450568406,0.07792207717402598,0.26493506431168834,0.19481882283116883,4.867037336056065,0.690828171439298,-0.3783514638498712,1.0420733144320076,1.0863246812902816,0.20845780321065585,0.08804040509752788,66.66666666666666
27,Eun-won Jung 정은원,Eagles (KBO),2023 only,459,23,76.44425982629129,0.135076252,0.15904139399999997,0.046391753,3.2446050314549133,-0.807889403794939,1.735157737668427,-0.67628682611129,-1.2705717749482914,-0.5844499112760508,0.081531682187586,65.38461538461539
28,Tae-yean Kim 김태연,Eagles (KBO),2023-2026,1342,29,102.64748666297619,0.08643815169597616,0.18852458995827126,0.1190669420804769,3.5658168245585804,0.2810361892735175,-0.09493263979831103,-0.26437806989532314,-0.08177886763591907,-0.559937256253014,0.04067347953676756,64.1025641025641
29,Jeong-won Choi 최정원,Dinos (KBO),2024-2026,446,26,97.41866081978766,0.09865470812780269,0.18161434910089685,0.037797960076233185,6.465877936198532,-0.011972045026767294,0.36777360871007675,-0.29010149084757486,-1.396559744098825,1.014662658052326,0.03835439102941282,62.82051282051282
30,In Seo Heo 허인서,Eagles (KBO),2026 only,244,22,127.7671078283756,0.086065573,0.299180327,0.202830188,2.1981891339285715,0.826274647130303,-0.08696434398166446,1.2756983308907694,0.9541193109871567,-0.8310817792834737,0.03566306478803403,61.53846153846154
31,Seong Bin Hwang 황성빈,Giants (KBO),2023-2026,1133,28,87.25050512696879,0.06884377698411297,0.15092674266107678,0.0831473589232127,8.936000699071188,-0.49532498420605914,-0.954150557440633,-1.0853917556994659,-0.8539155344588072,2.9689319707782387,-0.001125824915772017,60.256410256410255
32,Bon-hyeok Gu 구본혁,Twins (KBO),2024-2026,1004,29,85.55273367797845,0.0906374496942231,0.12151394394223107,0.05740989821115538,4.51888006554405,-0.5665227457097409,0.10742591113800187,-1.6888871114484922,-1.3723565453620912,0.07732234060449235,-0.003099754244328985,58.97435897435898
33,Young Woong Kim 김영웅,Lions (KBO),2023-2025,1111,21,100.63128938990525,0.09090909029522952,0.2934293427632763,0.21137293278937896,4.720478858919577,0.16814867824615415,0.12432296405199184,2.0595259411576947,1.8977674982839854,0.21118961785240145,-0.028285120799385322,57.692307692307686
34,Young Mook Hwang 황영묵,Eagles (KBO),2024-2026,772,26,92.82958297216035,0.08160621688860104,0.1424870459235751,0.07843630752072539,4.339340222813224,-0.20584370663486398,-0.30536725025404937,-1.1524245220249372,-0.8748168770843998,-0.036972707158729676,-0.04252982242751704,56.41025641025641
35,Jin-young Lee 이진영,Eagles (KBO),2023-2026,983,28,100.47081000750084,0.11088504541200407,0.2797558490254323,0.1353294862756867,3.2749120185527096,0.15376871350399932,1.066287548112242,1.7127525530557863,0.2592269316868234,-0.7115366610908296,-0.05590587229916078,55.12820512820513
36,Ji-yeol Im 임지열,Heroes (KBO),2023-2025,662,29,97.46903264557609,0.10574018087311178,0.26435045265105744,0.12740227696223566,4.148555888992943,0.00032334359105642426,0.7331527009032951,1.2488216086055968,0.07897686409415984,-0.14553610954199311,-0.06217760228224861,53.84615384615385
37,Ju Hong Park 박주홍,Heroes (KBO),2025-2026,442,25,82.80671623892215,0.11312217166968325,0.26018099518552035,0.10443041562669683,6.612344497608168,-0.5589222223755109,0.8993624613946356,1.020980488093635,-0.31120207200684186,1.0830141915922487,-0.08541104062452282,52.56410256410257
38,Jun Soon Park 박준순,Bears (KBO),2025-2026,532,19,113.75240341148512,0.041353382785714286,0.19172932300375942,0.15903317254887217,5.213775575631769,0.6486838733345418,-1.8694340650797074,-0.13416282737420554,0.6202333198396887,0.42554851924439696,-0.13791367361791276,51.28205128205128
39,Ji Hoon Park 박지훈,Bears (KBO),2026 only,217,25,75.937664104862,0.087557603,0.142857142,0.043243243,6.222026225932824,-0.5982396116279028,-0.04613079745604659,-0.6379453531217407,-0.9339164912934507,0.6168479001826385,-0.14181819590378805,50.0
40,Jae Hyun Park 박재현,Tigers (KBO),2026 only,330,19,96.24486764481142,0.057575757,0.187878787,0.134868421,6.765486748372666,-0.058887756510940754,-1.0155962035048511,-0.15361612397525054,0.15401804239702035,1.014287404461505,-0.14538838278592672,48.717948717948715
