Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Aaron Altherr 알테어","Dinos (KBO)","—",143,492,565,134,81,19,2,32,83,84,57,2,156,11,5,0,6,20,5,0.272357723,"Aaron Altherr","11270",
"Dixon Machado 마차도","Giants (KBO)","—",134,466,539,130,103,21,1,5,83,58,58,1,65,4,7,4,9,8,5,0.278969957,"Dixon Machado","11472",
"Henry Ramos 라모스","- - -","—",98,383,428,113,76,20,4,13,53,59,31,1,78,5,7,2,7,5,3,0.295039164,"Henry Ramos","11481",
"Sócrates Brito 소크라테스","- - -","—",409,1613,1764,487,321,90,13,63,266,270,127,12,252,7,17,0,31,40,17,0.301921884,"Socrates Brito","12944",
"Patrick Wisdom 위즈덤","Tigers (KBO)","—",119,424,486,100,44,20,1,35,73,85,52,2,142,4,6,0,9,3,0,0.235849056,"Patrick Wisdom","13602",
"Preston Tucker 터커","Tigers (KBO)","—",127,468,539,111,77,24,1,9,42,59,61,1,66,8,2,0,12,0,0,0.237179487,"Preston Tucker","13633",
"Yasiel Puig 푸이그","- - -","—",166,629,719,164,105,32,0,27,82,93,70,1,138,16,4,0,7,6,3,0.260731319,"Yasiel Puig","14225",
"Anthony Alford 알포드","- - -","—",213,774,870,223,140,50,4,29,131,120,80,4,230,9,7,0,9,22,4,0.288113695,"Anthony Alford","14329",
"Jake Cave 케이브","Bears (KBO)","—",136,538,593,161,111,28,6,16,72,87,43,1,116,4,8,0,7,17,1,0.299256505,"Jake Cave","14477",
"Victor Reyes 레이예스","- - -","—",348,1385,1542,469,330,98,4,37,190,258,129,24,180,6,22,0,43,13,2,0.338628158,"Victor Reyes","15487",
"Jason Martin 마틴","Dinos (KBO)","—",118,435,503,123,84,20,2,17,55,90,57,2,107,1,10,0,8,15,3,0.28275862,"Jason Martin","16429",
"Luis Liberato 리베라토","Eagles (KBO)","—",124,492,546,154,94,36,4,20,82,78,46,0,94,0,8,0,6,2,0,0.31300813,"Luis Liberato","17307",
"Sam Hilliard 힐리어드","Wiz (KBO)","—",61,242,273,67,40,11,3,13,47,48,27,0,79,0,4,0,2,6,2,0.276859504,"Sam Hilliard","17954",
"Austin Dean 오스틴","- - -","—",455,1713,1960,547,334,97,11,105,317,377,202,17,258,12,33,0,35,23,12,0.319322825,"Austin Dean","18288",
"Daz Cameron 카메론","Bears (KBO)","—",62,233,263,69,43,14,3,9,35,37,26,0,45,3,1,0,7,8,0,0.296137339,"Daz Cameron","18353",
"Lewin Díaz 디아즈","- - -","—",233,899,1017,271,156,47,0,68,140,223,96,11,169,8,14,0,25,2,0,0.301446051,"Lewin Diaz","18365",
"ByungHo Park 박병호","- - -","—",572,1815,2095,453,275,67,0,111,251,364,207,8,577,48,25,0,43,11,3,0.249586776,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","- - -","—",751,2765,3168,803,581,144,7,71,358,493,346,18,335,22,32,2,51,16,5,0.290415913,"Hyun Soo Kim","18718",
"Guillermo Heredia 에레디아","- - -","—",415,1632,1797,540,397,86,1,56,232,298,115,12,257,33,16,1,40,18,16,0.330882352,"Guillermo Heredia","18721",
