Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
2024,"Henry Ramos 라모스","Bears (KBO)",32,80,311,348,95,63,19,3,10,43,48,27,1,60,3,6,1,5,3,3,0.305466237,"Henry Ramos","11481",
2023,"Niko Goodrum 구드럼","Giants (KBO)",31,50,173,201,51,36,14,1,0,16,28,23,1,46,1,4,0,6,0,0,0.294797687,"Niko Goodrum","12092",
2023,"Sócrates Brito 소크라테스","Tigers (KBO)",30,142,547,608,156,102,31,3,20,91,96,52,4,80,1,8,0,13,15,6,0.285191956,"Socrates Brito","12944",
2024,"Sócrates Brito 소크라테스","Tigers (KBO)",31,140,552,602,171,112,30,3,26,92,97,41,4,91,4,5,0,7,13,5,0.309782608,"Socrates Brito","12944",
2025,"Patrick Wisdom 위즈덤","Tigers (KBO)",33,119,424,486,100,44,20,1,35,73,85,52,2,142,4,6,0,9,3,0,0.235849056,"Patrick Wisdom","13602",
2023,"Addison Russell 러셀","Heroes (KBO)",29,58,216,235,62,46,11,1,4,20,41,17,1,39,1,1,0,5,1,0,0.287037037,"Addison Russell","14106",
2025,"Yasiel Puig 푸이그","Heroes (KBO)",34,40,156,172,33,25,2,0,6,17,20,12,0,38,4,0,0,1,0,0,0.211538461,"Yasiel Puig","14225",
2023,"Anthony Alford 알포드","Wiz (KBO)",28,133,491,547,142,93,31,3,15,83,70,47,1,140,6,3,0,6,17,3,0.289205702,"Anthony Alford","14329",
2023,"Nick Williams 윌리엄스","Eagles (KBO)",29,68,258,273,63,40,14,0,9,29,45,8,0,63,4,3,0,6,1,1,0.244186046,"Nick Williams","14330",
2025,"Jake Cave 케이브","Bears (KBO)",32,136,538,593,161,111,28,6,16,72,87,43,1,116,4,8,0,7,17,1,0.299256505,"Jake Cave","14477",
2026,"Harold Castro 카스트로","Tigers (KBO)",32,41,159,171,50,32,12,0,6,28,34,9,1,29,0,3,0,4,0,0,0.314465408,"Harold Castro","14691",
2024,"Victor Reyes 레이예스","Giants (KBO)",29,144,574,632,202,144,40,3,15,88,111,46,2,82,1,11,0,16,5,0,0.351916376,"Victor Reyes","15487",
2025,"Victor Reyes 레이예스","Giants (KBO)",30,144,573,643,187,129,44,1,13,75,107,58,17,66,3,9,0,25,7,1,0.32635253,"Victor Reyes","15487",
2026,"Victor Reyes 레이예스","Giants (KBO)",31,85,336,374,117,86,19,1,11,43,61,33,7,40,2,3,0,5,1,1,0.348214285,"Victor Reyes","15487",
2023,"Jason Martin 마틴","Dinos (KBO)",27,118,435,503,123,84,20,2,17,55,90,57,2,107,1,10,0,8,15,3,0.28275862,"Jason Martin","16429",
